id,latitude,longitude,int_backrest
9214196805,43.468846,1.3311827,0
9214196806,43.4688331,1.3311827,0
9214196807,43.4688206,1.3311975,0
9214196808,43.4688175,1.3312237,0
9214196809,43.469075,1.3311262,0
9214196810,43.4690685,1.3311054,0
9214196811,43.4690564,1.3310977,0
9214196812,43.4690435,1.3310977,0
9214196813,43.469031,1.3311125,0
9214196814,43.469028,1.3311387,0
9214196815,43.4694859,1.3309884,0
9214196816,43.4694795,1.3309676,0
9214199517,43.4694674,1.3309598,0
9214199518,43.4694545,1.3309598,0
9214199519,43.469442,1.3309747,0
9214199520,43.4694389,1.3310008,0
9214199521,43.4692887,1.3310392,0
9214199522,43.4692766,1.3310314,0
9214199523,43.4692636,1.3310314,0
9214199524,43.4692511,1.3310463,0
9214199525,43.4692481,1.3310724,0
9214199526,43.4692951,1.33106,0
9238355584,43.4668385,1.3184448,0
9238355585,43.4667383,1.3196721,0
9238355586,43.4664987,1.3185586,0
9238355587,43.4664894,1.3191108,0
9238355588,43.4666522,1.319095,0
9240326853,43.4687122,1.3207657,0
9240326854,43.4686877,1.3207536,0
9240326855,43.4687319,1.3206959,0
9240326856,43.4687078,1.320684,0
9240326857,43.4687097,1.3206059,0
9240326858,43.4686851,1.3205943,0
9240326859,43.4686224,1.3204802,0
9240326860,43.4687147,1.3204862,0
9920633579,43.4701763,1.3386921,1
9920716322,43.467543,1.3321962,1
10031526595,43.4633705,1.3266927,0
10031629289,43.4635805,1.3270019,0
11083682318,43.4514275,1.3275515,0
11083701734,43.4513813,1.3276621,0
11083704432,43.4514047,1.3275972,0
11083718155,43.4513401,1.3277049,0
11192734890,43.4613162,1.3311036,0
11192734891,43.4613467,1.3310729,0
11192734892,43.460997,1.3308491,0
11192734893,43.4610407,1.3308038,0
11192734894,43.4611045,1.3307378,0
11824819999,43.4539002,1.3314839,0
11824820000,43.4537587,1.3314337,0
11824820001,43.4538357,1.3314903,0
11824820002,43.4538201,1.3314265,0
11824820003,43.4539179,1.3314108,0
11824820004,43.4537561,1.331572,0
11824820005,43.4536838,1.3315577,0
11824820006,43.4536692,1.331648,0
12049071844,43.4998417,1.3949821,1
13155782083,43.4657885,1.3244366,1
13155782085,43.4658118,1.3237955,1
13155782086,43.4657423,1.3240289,0
13155782087,43.4658873,1.324098,0
13155782088,43.4659542,1.3238773,0
8466916145,43.4330511,1.4259889,1
11110339999,43.4895025,1.4806226,1
11236022259,43.4575717,1.4323367,1
11382529361,43.4900255,1.4791872,1
11918540559,43.4814925,1.432311,0
11918666366,43.4814464,1.4322896,0
11918703983,43.481536,1.4323313,0
11918709526,43.4815936,1.4323216,0
11918710981,43.4815455,1.4322869,0
3974560828,43.489851,1.512508,1
3978516531,43.4936825,1.5312751,1
4016668679,43.4894227,1.5216029,1
4016668680,43.4894653,1.5216217,1
4017932205,43.4953888,1.5338663,1
4017932208,43.4954776,1.5339938,1
4017932209,43.4954801,1.5336819,1
4017932237,43.4958973,1.534664,1
4017932239,43.4958986,1.534181,1
